"caseName","status","websiteDbName","cleanClaimsDbName","submittedOnlineCount","matchedInCleanClaimsCount","missingCount","isDBOnline","description","referenceDate","isActive"
"Cobean v. Gastroenterology Associates","WARNING","GastroenterologyAssociates_Cobean_C","GastroenterologyAssociates_Cobean_C_SQL","1550","1540","10","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Darling v. West Coast Self Storage","WARNING","WestCoastSelfStorage_Darling_C","WestCoastSelfStorage_Darling_C_SQL","19","18","1","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"de Rochemont v. UC Distribution LLC","WARNING","UCDistribution_deRochemont_O","UCDistribution_deRochemont_O_SQL","542","539","3","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Dryden v. Tri Counties Bank","WARNING","TriCountiesBank_Dryden_C","TriCountiesBank_Dryden_C_SQL","1288","1273","15","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"EEOC v. Kickback Jacks","WARNING","BattlegroundRestaurants_EEOC_C","BattlegroundRestaurants_EEOC_C_SQL","16","14","2","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"EEOC v. Trustees of Columbia University in the City of New York","WARNING","ColumbiaUniversity_EEOC_C","ColumbiaUniversity_EEOC_C_SQL","6159","6080","79","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Erazo v The Regents of the University of California","WARNING","RegentsOfTheUniversityOfCalifornia_Fields_C","RegentsOfTheUniversityOfCalifornia_Fields_C_SQL","20512","20052","460","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Fisk, et al. v. California State University, San Diego State University, et al.","WARNING","SanDiegoStateUniversity_Fisk_DISB","SanDiegoStateUniversity_Fisk_C_SQL","121","107","14","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Fritz, et al. v. Glacier Bank, et al.","WARNING","GlacierBank_FritzAdams_C","GlacierBank_FritzAdams_C_SQL","148","146","2","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Fugate v. PeopleWhiz, Inc.","WARNING","PeopleWhiz_Fugate_O","PeopleWhiz_Fugate_O_SQL","1919","1911","8","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Heath, et al.  v. Keenan & Associates","WARNING","KeenanAndAssociates_Heath_C","KeenanAndAssociates_Heath_C_SQL","61928","61926","2","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Henderson, et al. v. Reventics, LLC","WARNING","ReventicsLLC_Henderson_C","ReventicsLLC_Henderson_C_SQL","11397","11396","1","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Jones v. Larson Motors, Inc.","WARNING","LarsonMotors_Jones_C","LarsonMotors_Jones_C_SQL","294","292","2","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Leedman v. Midland Credit Management, Inc.","WARNING","MidlandCreditManagement_Leedeman_O","MidlandCreditManagement_Leedeman_O_SQL","1688","1685","3","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Netgain Technology, LLC, Consumer Data Breach Litigation","WARNING","NetgainTechnologyConsumerDataBreachLitigation_C","NetgainTechnologyConsumerDataBreachLitigation_C_SQL","740575","704290","36285","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Progressive Leasing Breach Litigation","WARNING","ProgressiveLeasingBreachLitigation_C","ProgressiveLeasingBreachLitigation_C_SQL","8570","8553","17","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Richardson v Cumberland Heights Foundation, Inc.","WARNING","CumberlandHeightsFoundation_Richardson_C","CumberlandHeightsFoundation_Richardson_C_SQL","68","67","1","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Schenk v. System Transport, Inc.","WARNING","SystemTransport_SchenkWallace_C","SystemTransport_SchenkWallace_C_SQL","25","23","2","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","false"
"Solis v Highline School District No. 401","WARNING","HighlineSchoolDistrict_Solis_C","HighlineSchoolDistrict_Solis_C_SQL","1264","1260","4","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Xponential Fitness Franchisees Settlement","WARNING","XponentialFitness_Franchisees_C","XponentialFitness_Franchisees_C_SQL","702","690","12","ONLINE","Confirmation-based compare found missing rows since reference date.","2025-06-13","true"
"Aiuto v. Publix Super Markets, Inc.","BAD","publixovertime","PublixSuperMarkets_Aiuto_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Anderson v. San Francisco, et al.","BAD","SanFrancisco_Anderson_Mailing","SanFrancisco_Anderson_Mailing_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Arredondo v. The University of La Verne","BAD","LaVerne_Arredondo_PC","LaVerne_Arredondo_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Arredondo v. University of La Verne","BAD","LaVerne_Arredondo_PC","UniversityOfLaVerne_Arredondo_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Artiga et al v. ABM Industry Groups, LLC","BAD","ABMIndustryGroups_Artiga_C","ABMIndustryGroups_Artiga_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Ayala v. Wide Open, Inc., et al.","BAD","WideOpen_Ayala_O","WideOpen_Ayala_C_SQL","0","0","0","OFFLINE","Database 'WideOpen_Ayala_O' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Ball v. Commerce West Insurance Company","BAD","CWICSettlement","CommerceWest_Ball_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Basham v. Tailored Living Choices, LLC","BAD","TailoredLivingChoices_Basham_C","TailoredLivingChoices_Basham_C_SQL","0","0","0","OFFLINE","Database 'TailoredLivingChoices_Basham_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Bautista-Perez v. Juul Labs, Inc.","BAD","JuulLabs_Bautista_C","JuulLabs_Bautista_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Bochenek v. M2 Media Group, LLC, et al.","BAD","MagRenewalSettlement","M2_MEDIA_GROUP_BOCHENEK_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Booth v. Molloy College","BAD","MolloyCollege_Booth_O","MolloyCollege_Booth_O_SQL","0","0","0","OFFLINE","Database 'MolloyCollege_Booth_O' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Botcher et al. v. Make School PBC","BAD","MakeSchoolPBC_Botcher_C","MakeSchoolPBC_Botcher_C_SQL","0","0","0","OFFLINE","Database 'MakeSchoolPBC_Botcher_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Bradford v. Chevron U.S.A., Inc.","BAD","Chevron_Bradford_PC","ChevronPostCert_SQL","0","0","0","OFFLINE","Database 'Chevron_Bradford_PC' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Britton, et al. v. Castle & Cooke Waikoloa, LLC (?Waikoloa-PEX Settlement?)","BAD","WaikoloaPEX_Britton_O","WaikoloaPEX_Britton_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Britton, et al. v. Castle & Cooke Waikoloa, LLC (?Waikoloa-Wind Settlement?)","BAD","WaikoloaWind_Britton_O","WaikoloaWind_Britton_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Brooks v. Pressed Juicery, Inc., et al.","BAD","PressedJuicery_Brooks_C","PressedJuicery_Brooks_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Broomfield, et al. v. Craft Brew Alliance, Inc.","BAD","konabeersettlement","KonaBrewingBroomfieldClaimsSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Broomfield, et al. v. Craft Brew Alliance, Inc. - Confirm Emails","BAD","konabeersettlement","KonaBrewingBroomfieldClaimsSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Brunswick v. Amica Mutual Insurance Company","BAD","AmicaMutualInsurance_Brunswick_C","AmicaMutualInsurance_Brunswick_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Carl Hester v. Phillips 66 Co.","BAD","HesterPhillips66","Phillips66_Hester_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Cecena v. Winston Brands, Inc.","BAD","WinstonBrands_Cecena_C","WinstonBrands_Cecena_C_SQL","0","0","0","OFFLINE","Database 'WinstonBrands_Cecena_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Cesarz /Tang v. Wynn Las Vegas, LLC","BAD","WynnLasVegas_TangCesarz_C","WynnLasVegas_TangCesarz_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Chandler v. The Regents of The University of California","BAD","Regents_Chandler_D","RegentsPreCert_SQL","0","0","0","OFFLINE","Database 'Regents_Chandler_D' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Christofferson, et al., v. Creation Entertainment, Inc.","BAD","CreationEntertainment_Christofferson_C","CreationEntertainment_Christofferson_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Cirillo and Stiles v. Citrix Systems, Inc.","BAD","CitrixSystems_CirilloStiles_C","CitrixSystems_CirilloStiles_C_SQL","0","0","0","OFFLINE","Database 'CitrixSystems_CirilloStiles_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"City of Southport v. Plantation Building of Wilmington","BAD","Southport_PlantationBuildingWilmington_C","CityofSouthport_PlantationBuildingWilmington_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Clark v. Melt Bar and Grilled Holdings, LLC","BAD","meltbarandgrilledlawsuit","MeltBarClarkPostCertSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Clark v. State Teachers Retirement System","BAD","STRSSettlement","StateTeachersRetirementSystem_Clark_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Cleese v. MLT","BAD","VersaillesClassAction","MLT_Cleese_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Coleman, et al. v. Boys Town National Research Hospital","BAD","boystownclass","BoysTown_Coleman_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Conrad v. Sun Coast Resources, Inc., Lawsuit","BAD","SunCoastLawsuit","SunCoastResources_Conrad_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Covington, et al. v Munger Farms LLC, et al.","BAD","mungersettlement","MungerFarms_Covington_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Crabtree v. Vivint, Inc.","BAD","Vivint_Crabtree_O","Vivint_Crabtree_O_SQL","0","0","0","OFFLINE","Database 'Vivint_Crabtree_O' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Curran v Carrabba?s Italian Grill","BAD","CarrabbasItalianGrill_Curran_PC","CarrabbasItalianGrillPostCert_SQL","0","0","0","OFFLINE","Database 'CarrabbasItalianGrill_Curran_PC' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"David M. Oates v. Kinder Morgan Energy Partners, L.P.","BAD","KinderMorganEnergyPartners_Oates_C","KinderMorganEnergyPartners_Oates_C_SQL","0","0","0","OFFLINE","Database 'KinderMorganEnergyPartners_Oates_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Davis v. Tralee Affordable Panther LLC dba Deerfield Crossing Apartments and RAM Partners, LLC","BAD","evictionfeeclassactionnc","TraleeAffordablePanther_Davis_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"De Angelis v. Vanity","BAD","Vanity_DeAngelis_PC","Vanity_DeAngelis_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Demery v. Securitas Security Services USA, Inc.","BAD","SecuritasSecurityServices_Demery_C","SecuritasSecurityServices_Demery_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"DePyper v. Roundy?s Supermarkets, Inc.","BAD","RoundysSupermarkets_DePyper_PC","RoundysSupermarkets_DePyper_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Dhadwal v. Fair Collections & Outsourcing of New England, Inc.","BAD","FCO_Dhadwal_C","FairCollectionsAndOutsourcingOfNewEngland_Dhadwal_C_SQL","0","0","0","OFFLINE","Database 'FCO_Dhadwal_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"DiLorenzo v. Bitdefender Inc., et al.","BAD","Bitdefender_DiLorenzo_C","Bitdefender_DiLorenzo_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Dominique Morrison v. Ross Stores, Inc.","BAD","RossStores_Morrison_O","RossStores_Morrison_O_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Duhe v. Hospital Couriers Nevada LLC","BAD","DuheHCN","HospitalCouriersDuhePreCertSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"EEOC v. Lilly USA, LLC","BAD","LillyUSA_EEOC_C","LillyUSA_EEOC_C_SQL","0","0","0","OFFLINE","Database 'LillyUSA_EEOC_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"ElementsProduction_Raus_C","BAD","ElementsProduction_Raus_C","ElementsProduction_Raus_C_SQL","0","0","0","OFFLINE","Database 'ElementsProduction_Raus_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Ervin v. AmeriMark Direct LLC, et al.","BAD","AmeriMarkDirect_Ervin_C","AmeriMarkDirect_Ervin_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Everett, et al. v. Trusted Media Brands, Inc.","BAD","TrustedMediaBrands_Everett_C","TrustedMediaBrands_Everett_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Express Messenger Systems Wage and Hour Cases","BAD","EMSWageAndHour","EMSWageAndHourCasesPostCertSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Forsyth, et al., v. HP Inc., et al.","BAD","HP_Forsyth_PC","HP_Forsyth_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Fritz v. Corizon Health, Inc.","BAD","CorizonHealth_Fritz_PC","CorizonHealth_Fritz_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Fritz, et al. v. Corizon Health, Inc. et al.","BAD","CorizonHealth_Fritz_C","CorizonHealth_Fritz_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Gatlin et al. v. Flowers Baking Co. of Lenexa, LLC et al.","BAD","tempworkersettlement","Flower_Baking_Gatlin_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Gilbert v. MoneyMutual, LLC, et. al.","BAD","MoneyMutualSettlement","MoneyMutual_Gilbert_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Gold, et al. v. Lumber Liquidators, Inc.","BAD","BambooSettlement","LumberLiquidatorsGoldClaimsSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Gonzales v. Charter Communications, LLC","BAD","CharterCommunications_Gonzales_PC","CharterCommunications_Gonzales_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Hamaker v. Highline Medical Center, et al.","BAD","HighlineMedicalCenter_Hamaker_C","HighlineMedicalCenter_Hamaker_C_SQL","0","0","0","OFFLINE","Database 'HighlineMedicalCenter_Hamaker_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Hampton, et al. v. KPM, LLC, et al.","BAD","KPM_Hampton_C","KPM_Hampton_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"HARTRANFT v TVI INC & APOGEE RETAIL","BAD","DonationCallSettlement","ApogeeHartranftClaimsSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"HARTRANFT v TVI INC & APOGEE RETAIL - Redemption Portal","BAD","DPortal","ApogeeHartranftDistributionSQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Heath, et al. v. Steel River Systems, LLC","BAD","SteelRiverSystems_Heath_C","SteelRiverSystems_Heath_C_SQL","0","0","0","OFFLINE","Database 'SteelRiverSystems_Heath_C' cannot be opened because it is offline. Offline database: health comparison cannot run until this DB is brought online.","2025-06-13","false"
"Hernandez v. Dutton Ranch Corporation","BAD","DRdemanda","DuttonRanch_Hernandez_PC_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Herrera-Zambrano v. Tower Valet Parking, Inc.","BAD","towerliberty","TowerValetParking_HerreraZambrano_D_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Highlands Physicians, Inc. v. Wellmont Health System","BAD","WellmontHealth_HighlandsPhysicians_O","WellmontHealth_HighlandsPhysicians_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
"Hightree v. Amplify, LTD","BAD","AmplifyLTD_Hightree_C","AmplifyLTD_Hightree_C_SQL","0","0","0","ONLINE","Submissions table missing in website DB.","2025-06-13","false"
